"insCode","cSecVal","lSecVal","cSoSecVal","lSoSecVal","cValMne","lVal18","cSocCSAC","lSoc30","yMarNSC","yVal","lVal30","lVal18AFC","cIsin","zTitad","baseVol","instrumentID","cgrValCot","cComVal","lastDate","sourceID","flowTitle","cgrValCotTitle"
"22129017544200","34","خودرو و ساخت قطعات","3499","ساير قطعات يدكي و وسايل نقليه موتوري","AZIX1","Saipa Azin-R","AZIN","سايپاآذين‌","NO","400","ح . سايپاآذين‌","خاذينح","IRR1AZIN0106","0.0","0","IRR1AZIN0101","N2","5","0","0","","بازار دوم بورس"
"94378630649293","69","اوراق تامين مالي","6945","اوراق مرابحه دولتي با ضمانت دولت","O11Q1","SOV.GMR110SP250622","SO11","مرابحه عام دولت110-ش.خاص0404","NO","706","مرابحه عام دولت110-ش.خ040401","اراد110","IRB4SO110443","0.0","0","IRB4SO110441","17","4","0","0","","-'"
"114312662654155","56","سرمايه گذاريها","5699","ساير واسطه هاي  مالي","SAIZ1","SepehrSaderat Inv.","SAIZ","سرمايه گذاري گروه سپهرصادرات","NO","303","سرمايه گذاري مالي سپهرصادرات","وسپهر","IRO3SAIZ0007","0.0","0","IRO3SAIZ0001","1Z","1","0","0","","بازار اول فرابورس"
"140099686459313","54","ساير محصولات كاني غيرفلزي","5410","توليد شيشه","SHQX1","Ghazvin Glass-R","SHQZ","شيشه‌ قزوين‌","NO","400","ح . شيشه‌ قزوين‌","كقزويح","IRR1SHQZ0104","0.0","0","IRR1SHQZ0101","N2","5","0","0","","بازار دوم بورس"
"143187001116603","59","اوراق حق تقدم استفاده از تسهيلات مسكن","5910","اوراق حق تقدم استفاده از تسهيلات مسكن","TM021","Melli Mortgage1803","MELZ","تسهيلات مسكن بانك ملي ايران","NO","307","تسهيلات مسكن بانك ملي-اسفند96","تملي612","IRO6MELZ96C8","0.0","0","IRO6MELZ96C1","M1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"160349129184882","44","محصولات شيميايي","4421","توليد حشره كش و ساير محصولات شيميايي","MSHX1","Melli Agro.-R","MSHK","ملي‌ شيمي‌ كشاورز","NO","400","ح . ملي‌ شيمي‌ كشاورز","شمليح","IRR1MSHK0105","0.0","0","IRR1MSHK0101","N4","4","0","0","","بازار چهارم بورس"
"163301738200990","59","اوراق حق تقدم استفاده از تسهيلات مسكن","5910","اوراق حق تقدم استفاده از تسهيلات مسكن","MK181","Bank Maskan","MSKZ","بانك مسكن","NO","303","امتياز تسهيلات مسكن اسفندماه90","تسه9012","IRO3MSZ90122","0.0","0","IRO3MSZ90121","Z1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"180774784936665","44","محصولات شيميايي","4424","توليد شوينده ها، عطر و محصولات آرايشي","KAFF1","Kaf","KAFF","كف‌","NO","300","كف‌","شكف","IRO1KAFF0004","0.0","0","IRO1KAFF0001","N2","5","0","0","","بازار دوم بورس"
"204092872752957","44","محصولات شيميايي","4429","توليد ساير محصولات شيميايي","SDFZ1","Sanati Doodeh Fam","SDFZ","صنعتي دوده فام","NO","303","صنعتي دوده فام","شصدف","IRO3SDFZ0007","0.0","0","IRO3SDFZ0001","1Z","1","0","0","","بازار اول فرابورس"
"244106582239634","29","ماشين آلات و تجهيزات","2919","توليد ساير ماشين آلات عمومي","SRMX1","Sarma Afarin-R","SRMA","سرما آفرين‌","NO","400","ح . سرما آفرين‌","لسرماح","IRR1SRMA0105","0.0","0","IRR1SRMA0101","N2","5","0","0","","بازار دوم بورس"
"284184891779325","54","ساير محصولات كاني غيرفلزي","5495","توليد محصولات بتني، سيماني و گچ","KFRX1","Siman Shargh PR-R","KFRP","فرآورده هاي سيمان شرق","NO","404","ح. فرآورده هاي سيمان شرق","كفرآورح","IRR7KFRP0109","0.0","0","IRR7KFRP0101","P1","7","0","0","","بازار پایه زرد فرابورس"
"318005355896147","44","محصولات شيميايي","4411","توليد مواد شيميايي پايه به جز كود","PFSP1","Fasa Petro.","PFSP","پتروشيمي فسا","NO","309","پتروشيمي فسا","فسا","IRO7PFSP0001","0.0","0","IRO7PFSP0001","P1","7","0","0","","بازار پایه زرد فرابورس"
"347802782032969","42","محصولات غذايي و آشاميدني به جز قند و شكر","4241","توليد نان و محصولات وابسته","VITN1","Vitana","VITN","ويتانا","NO","300","ويتانا","غويتا","IRO1VITN0007","0.0","0","IRO1VITN0001","N4","4","0","0","","بازار چهارم بورس"
"350097973599097","59","اوراق حق تقدم استفاده از تسهيلات مسكن","5910","اوراق حق تقدم استفاده از تسهيلات مسكن","MK951","Mortgage Right9705","MSKZ","بانك مسكن","NO","307","امتياز تسهيلات مسكن مرداد97","تسه9705","IRO6MSKZ9759","0.0","0","IRO6MSKZ9751","17","4","0","0","","-'"
"357086043812735","27","فلزات اساسي","2710","توليد آهن و فولاد پايه","Z0091","Folad Torbat","Z009","فولاد تربت حيدريه","NO","303","فولاد تربت حيدريه","فولاد تربت","IRO3Z0090002","0.0","0","IRO3Z0090001","Z1","5","0","0","","بازار سوم فرابورس"
"379466056274101","67","فعاليتهاي كمكي به نهادهاي مالي واسط","6719","بجز تامين وجوه بيمه و بازنشستگي","TNOX1","S*Novin Invest-R","TNOV","تامين سرمايه نوين","NO","400","ح . تامين سرمايه نوين","تنوينح","IRR1TNOV0101","0.0","0","IRR1TNOV0101","N2","5","0","0","","بازار دوم بورس"
"408934423224097","27","فلزات اساسي","2720","توليد فلزات گرانبهاي غيرآهن","FRVR1","Iran Mineral P.","FRVR","فرآوري‌موادمعدني‌ايران‌","NO","300","فرآوري‌موادمعدني‌ايران‌","فرآور","IRO1FRVR0008","0.0","0","IRO1FRVR0001","N1","1","0","0","","بازار اول (تابلوی اصلی) بورس"
"428892437968801","43","مواد و محصولات دارويي","4323","توليد داروهاي شيميايي و گياهي","DHKM1","Hakim Pharm.","DHKM","داروسازي‌ حكيم‌","NO","300","داروسازي‌ حكيم‌","دحكيم","IRO1DHKM0000","0.0","0","IRO1DHKM0001","N4","4","0","0","","بازار چهارم بورس"
"471543293603227","68","صندوق سرمايه گذاري قابل معامله","6815","صندوق سرمايه گذاري جسورانه","VC141","Sepehr Aval VCF-VR","VC14","ص.س.جسورانه سپهريكم","NO","305","ص.ج. سپهريكم 20% تاديه","سپهر","IRT3VC140004","0.0","0","IRT3VC140001","T1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"471982469803836","28","ساخت محصولات فلزي","2893","توليد كارد و چنگال، ابزار دستي و عمومي","MEDX1","Mehdi Tools-R","MEDD","توليدي‌ ابزار مهدي‌","NO","400","ح . توليدي‌ ابزار مهدي‌","فمهديح","IRR1MEDD0104","0.0","0","IRR1MEDD0101","N4","4","0","0","","بازار چهارم بورس"
"490987973229371","68","صندوق سرمايه گذاري قابل معامله","6812","صندوق سرمايه گذاري در اوراق با درآمدثابت","AKMF1","Akam ETF","AKMF","ص.س.درآمد ثابت نوع دوم آكام","NO","305","صندوق س. نوع دوم آكام-د","آكام","IRT3AKMF0002","0.0","0","IRT3AKMF0001","1A","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"495499165983171","74","خدمات فني و مهندسي","7421","فعاليتهاي ساختماني و مشاوره فني مرتبط","ZF831","Const. Co.","ZF83","گسترش فن‌آوري‌هاي صنعت ساختمان","NO","303","گسترش فن‌آوري‌هاي صنعت ساختمان","صنعت ساختمان","IRO3ZF830004","0.0","0","IRO3ZF830001","Z1","5","0","0","","بازار سوم فرابورس"
