"insCode","instrumentID","cValMne","lVal18","cSocCSAC","lVal18AFC","lVal30","cIsin","dEven","flow","lSoc30","CGdSVal","cgrValCot","yMarNSC","cComVal","cSecVal","cSoSecVal","yVal"
"22129017544200","IRR1AZIN0101","AZIX1","Saipa Azin-R","AZIN","خاذینح","ح . سایپاآذین","IRR1AZIN0106","20200516","1","سایپاآذین","A","N2","NO","5","34","3499","400"
"94378630649293","IRB4SO110441","O11Q1","SOV.GMR110SP250622","SO11","اراد110","مرابحه عام دولت110-ش.خ040401","IRB4SO110443","20230607","2","مرابحه عام دولت110-ش.خاص0404","A","17","NO","4","69","6945","706"
"114312662654155","IRO3SAIZ0001","SAIZ1","SepehrSaderat Inv.","SAIZ","وسپهر","سرمایه گذاری مالی سپهرصادرات","IRO3SAIZ0007","20230917","2","سرمایه گذاری گروه سپهرصادرات","A","1Z","NO","1","56","5699","303"
"140099686459313","IRR1SHQZ0101","SHQX1","Ghazvin Glass-R","SHQZ","کقزویح","ح . شیشه  قزوین","IRR1SHQZ0104","20100411","1","شیشه  قزوین","A","N2","NO","5","54","5410","400"
"143187001116603","IRO6MELZ96C1","TM021","Melli Mortgage1803","MELZ","تملی612","تسهیلات مسکن بانک ملی-اسفند96","IRO6MELZ96C8","20230702","2","تسهیلات مسکن بانک ملی ایران","A","M1","NO","4","59","5910","307"
"160349129184882","IRR1MSHK0101","MSHX1","Melli Agro.-R","MSHK","شملیح","ح . ملی  شیمی  کشاورز","IRR1MSHK0105","20081126","1","ملی  شیمی  کشاورز","A","N4","NO","4","44","4421","400"
"163301738200990","IRO3MSZ90121","MK181","Bank Maskan","MSKZ","تسه9012","امتیاز تسهیلات مسکن اسفندماه90","IRO3MSZ90122","20180721","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"180774784936665","IRO1KAFF0001","KAFF1","Kaf","KAFF","شکف","کف","IRO1KAFF0004","20140311","1","کف","A","N2","NO","5","44","4424","300"
"204092872752957","IRO3SDFZ0001","SDFZ1","Sanati Doodeh Fam","SDFZ","شصدف","صنعتی دوده فام","IRO3SDFZ0007","20230917","2","صنعتی دوده فام","A","1Z","NO","1","44","4429","303"
"244106582239634","IRR1SRMA0101","SRMX1","Sarma Afarin-R","SRMA","لسرماح","ح . سرما آفرین","IRR1SRMA0105","20171213","1","سرما آفرین","A","N2","NO","5","29","2919","400"
"284184891779325","IRR7KFRP0101","KFRX1","Siman Shargh PR-R","KFRP","کفرآورح","ح. فرآورده های سیمان شرق","IRR7KFRP0109","20180721","4","فرآورده های سیمان شرق","A","P1","NO","7","54","5495","404"
"318005355896147","IRO7PFSP0001","PFSP1","Fasa Petro.","PFSP","فسا","پتروشیمی فسا","IRO7PFSP0001","20230917","4","پتروشیمی فسا","A","P1","NO","7","44","4411","309"
"347802782032969","IRO1VITN0001","VITN1","Vitana","VITN","غویتا","ویتانا","IRO1VITN0007","20081126","1","ویتانا","A","N4","NO","4","42","4241","300"
