"insCode","dEven","daily"
"22129017544200","20200516","20230917"
"94378630649293","20230607","20230917"
"114312662654155","20230917","20230917"
"140099686459313","20100411","20230917"
"143187001116603","20230702","20230917"
"160349129184882","20081126","20230917"
"163301738200990","20180721","20230917"
"180774784936665","20140311","20230917"
"204092872752957","20230917","20230917"
"244106582239634","20171213","20230917"
"284184891779325","20180721","20230917"
"318005355896147","20230917","20230917"
"347802782032969","20081126","20230917"
"350097973599097","20210630","20230917"
"357086043812735","20180721","20230917"
"379466056274101","20230918","20230917"
"408934423224097","20230917","20230917"
"428892437968801","20081126","20230917"
"471543293603227","20230515","20230917"
"471982469803836","20081126","20230917"
"490987973229371","20230702","20230917"
"495499165983171","20180721","20230917"
"517453086671514","20220418","20230917"
"540418221098215","20230510","20230917"
"589599697502308","20230917","20230917"
"590761101519570","20191014","20230917"
"611986653700161","20230917","20230917"
"651564801186566","20180721","20230917"
"655060129740445","20230917","20230917"
"685553375979058","20221212","20230917"
"726401865204843","20171213","20230917"
"751415341879364","20110816","20230917"
"778253364357513","20230917","20230917"
"786234965064488","20160119","20230917"
"793710053482057","20230917","20230917"
"796556604064374","20230917","20230917"
"823046680072171","20081126","20230917"
"831325835570803","20230917","20230917"
"881618880255065","20221212","20230917"
"912271202750887","20081126","20230917"
"917857106093847","20230917","20230917"
"971068957336171","20230611","20230917"
"1010647938388655","20160417","20230917"
"1050751214677134","20230822","20230917"
"1123534346391630","20171212","20230917"
"1200391996585610","20230702","20230917"
"1241998328504490","20230709","20230917"
"1245925241417929","20180721","20230917"
"1277592884769853","20230917","20230917"
"1301069819790264","20230917","20230917"
"1305902643160516","20230117","20230917"
"1314853494617240","20230918","20230917"
"1358190916156744","20230917","20230917"
"1359959101711313","20180721","20230917"
"1438514795814416","20230227","20230917"
"1518157759350339","20090716","20230917"
"1625149423498289","20230917","20230917"
"1650287360153383","20081126","20230917"
"1723099959084685","20210530","20230917"
"1771069330721898","20220412","20230917"
"1775538989481366","20230717","20230917"
"1778142796834142","20230702","20230917"
"1806692551822666","20230607","20230917"
"1808967844081601","20220108","20230917"
"1811292893243712","20220525","20230917"
"1822787329898392","20230917","20230917"
"1831214548277647","20210630","20230917"
"1852132120586484","20230918","20230917"
"1860384396424573","20230111","20230917"
"1911343624441437","20210220","20230917"
"1931037287459558","20230909","20230917"
"1982233425566381","20180826","20230917"
"2019449432639594","20230812","20230917"
"2050740941534952","20200823","20230917"
"2122354233695079","20230918","20230917"
"2135047529277416","20230830","20230917"
"2147129961448440","20230702","20230917"
"2149279845014433","20081126","20230917"
"2161110547458064","20230702","20230917"
"2254054929817435","20230917","20230917"
"2262715289665960","20230918","20230917"
"2287142185257795","20230904","20230917"
"2318736941376687","20230917","20230917"
"2328862017676109","20230917","20230917"
"2334276998450282","20230131","20230917"
"2362491091971813","20171213","20230917"
"2400322364771558","20230917","20230917"
"2427436944707298","20120115","20230917"
"2432718060936300","20230917","20230917"
"2434703913394836","20230917","20230917"
"2436557798493124","20081126","20230917"
"2501017203331667","20230111","20230917"
"2512214120008228","20230917","20230917"
"2589887561569709","20230918","20230917"
"2696258159590598","20230515","20230917"
"2705253775088582","20200929","20230917"
"2736448581569857","20230821","20230917"
"2786094660320231","20210828","20230917"
"2819110578357790","20200216","20230917"
"2855515398698068","20230809","20230917"
"2888358730233310","20221212","20230917"
"2892746204060110","20220828","20230917"
"2929948497881810","20221212","20230917"
"2944500421562364","20230917","20230917"
"2950378541189013","20140125","20230917"
"3019817952865782","20220906","20230917"
"3037464497437282","20180101","20230917"
"3050342257199174","20230917","20230917"
"3050805371360862","20210918","20230917"
"3083005592739412","20180721","20230917"
"3149396562827132","20230917","20230917"
"3164894984700505","20230502","20230917"
"3173544097113770","20230917","20230917"
"3203898026678865","20230607","20230917"
"3231489895425696","20180721","20230917"
"3236505307755709","20180721","20230917"
"3329167699100936","20230515","20230917"
"3362850293262749","20221129","20230917"
"3370493881245014","20230717","20230917"
"3388451018224720","20171213","20230917"
"3407806799514469","20230917","20230917"
"3414440373850933","20180721","20230917"
"3426578415893871","20190908","20230917"
"3427503698999958","20200930","20230917"
"3453027360500664","20221212","20230917"
"3454456635278563","20180721","20230917"
"3472444501310727","20081126","20230917"
"3490763436807651","20220525","20230917"
"3492952121304423","20230917","20230917"
"3493306453706327","20230917","20230917"
"3505675353152597","20230111","20230917"
"3542690854557886","20230123","20230917"
"3576992542663284","20180721","20230917"
"3577388800305243","20220906","20230917"
"3615666621538524","20171212","20230917"
"3623921205367364","20230917","20230917"
"3641651712782169","20220906","20230917"
"3654864906585643","20230917","20230917"
"3679885359158219","20171213","20230917"
"3681415009616010","20091103","20230917"
"3692443157966617","20170419","20230917"
"3715246194918044","20221212","20230917"
"3722699128879020","20230917","20230917"
"3724461228711185","20081126","20230917"
"3727693296236633","20171213","20230917"
"3823146019192598","20220418","20230917"
"3823243780502959","20220702","20230917"
"3826561665587230","20230702","20230917"
"3833483672193514","20180721","20230917"
"3839324986781871","20230917","20230917"
"3846143218462419","20230703","20230917"
"3852548583453231","20171213","20230917"
"3863538898378476","20230917","20230917"
"3893110467363738","20200823","20230917"
"3894699865003304","20230607","20230917"
"3917385912636499","20180721","20230917"
"3955137492069792","20230607","20230917"
"3955332316338258","20230917","20230917"
"3994823794687025","20181216","20230917"
"3997755616402545","20230607","20230917"
"4034432815122384","20170419","20230917"
"4039883656662701","20230709","20230917"
"4144074544456596","20230607","20230917"
"4151098369137517","20230607","20230917"
"4159532151694984","20230917","20230917"
"4168935911775744","20230607","20230917"
"4202223580392187","20220418","20230917"
"4208841225215712","20201202","20230917"
"4216536645718658","20230227","20230917"
"4247709727327181","20230917","20230917"
"4267564158935326","20230917","20230917"
"4287217773498527","20180721","20230917"
"4312836939310355","20230702","20230917"
"4316439542005697","20161214","20230917"
"4325911723150569","20190220","20230917"
"4329936651096718","20140309","20230917"
"4338173689017034","20221212","20230917"
"4339000305241208","20221212","20230917"
"4351174618872221","20171213","20230917"
"4369934250728330","20230918","20230917"
"4384288570322406","20230917","20230917"
"4394160744086761","20180721","20230917"
"4395741730355818","20230515","20230917"
"4444560651904989","20230607","20230917"
"4470657233334072","20230918","20230917"
"4487526310579037","20180721","20230917"
"4507558419857064","20230917","20230917"
"4523009251964699","20230813","20230917"
"4528607775462304","20230917","20230917"
"4548649177325855","20230325","20230917"
"4563413583000719","20230917","20230917"
"4614779520007780","20230917","20230917"
"4626686276232042","20230724","20230917"
"4654922806626448","20171212","20230917"
"4659957480182399","20221212","20230917"
"4675702494292805","20140721","20230917"
"4686607974846832","20230917","20230917"
"4687803927401790","20230917","20230917"
"4696778151668001","20230607","20230917"
"4733285133017464","20230917","20230917"
"4758266259250794","20230918","20230917"
"4795530891409462","20160315","20230917"
"4850272661730246","20230917","20230917"
"4867878792891354","20081126","20230917"
"4885314541377431","20230917","20230917"
"4901886287361309","20230717","20230917"
"4942127026063388","20230917","20230917"
"4947476572410305","20081126","20230917"
"5019865278498569","20180721","20230917"
"5054819322815158","20230918","20230917"
"5126621656875241","20190608","20230917"
"5128151910501174","20230917","20230917"
"5129610654133588","20180721","20230917"
"5142626877687530","20180721","20230917"
"5155664898275492","20180721","20230917"
"5181039426047414","20220906","20230917"
"5187018329202415","20230917","20230917"
"5201689540063021","20230607","20230917"
"5203880991539408","20191008","20230917"
"5208723461432451","20090716","20230917"
"5289443384174453","20220412","20230917"
"5301085788082941","20220525","20230917"
"5305844922895340","20230917","20230917"
"5317427172344706","20230917","20230917"
"5325443374224010","20230917","20230917"
"5375527828569577","20141026","20230917"
"5412524775617700","20140525","20230917"
"5427792638736934","20230917","20230917"
"5454781314262062","20230917","20230917"
"5516102131364383","20230917","20230917"
"5547896159175454","20211222","20230917"
"5549857188372213","20220906","20230917"
"5550649038347558","20230628","20230917"
"5564768007356822","20230917","20230917"
"5599691633622269","20230917","20230917"
"5648656842888275","20230918","20230917"
"5657981336716226","20210630","20230917"
"5661338086089059","20180721","20230917"
"5683112369371738","20220108","20230917"
"5765555862904784","20140721","20230917"
"5783022996598513","20230328","20230917"
"5798407779416661","20171213","20230917"
"5811747532754081","20211009","20230917"
"5818838554339991","20211009","20230917"
"5857871270392801","20100411","20230917"
"5860844072616896","20230917","20230917"
"5866848234665627","20230918","20230917"
"5895320180657507","20220418","20230917"
"5898511005624629","20230918","20230917"
"5920319552619760","20230918","20230917"
"5920901446678689","20230917","20230917"
"5928673390202592","20081126","20230917"
"5938543336901420","20120602","20230917"
"5968811612822747","20230917","20230917"
"5987841496184505","20230917","20230917"
"6043384171800349","20230917","20230917"
"6072844413711540","20221212","20230917"
"6110133418282108","20230917","20230917"
"6116572045021585","20230917","20230917"
"6131290133202745","20230917","20230917"
"6131416152062735","20210711","20230917"
"6257725767708176","20180721","20230917"
"6274378166234446","20130623","20230917"
"6279180934042367","20150120","20230917"
"6388767545512151","20180721","20230917"
"6393093854932837","20171213","20230917"
"6406022861133765","20180721","20230917"
"6433335428452486","20230917","20230917"
"6477561695045653","20081126","20230917"
"6478064539164167","20230918","20230917"
"6479253536750886","20180721","20230917"
"6491687805743913","20230627","20230917"
"6506179926371994","20230917","20230917"
"6544645716121372","20171213","20230917"
"6626302649460766","20180422","20230917"
"6658301253105363","20230828","20230917"
"6700951770411072","20220726","20230917"
"6710089299473179","20210630","20230917"
"6757220448540984","20230917","20230917"
"6760432273898471","20230607","20230917"
"6787397679438294","20150719","20230917"
"6792309561698443","20230423","20230917"
"6802043070704889","20180721","20230917"
"6803271730717705","20230918","20230917"
"6821743369529426","20081126","20230917"
"6847536925606808","20230917","20230917"
"6902017975632145","20081126","20230917"
"6912445055737597","20100411","20230917"
"6929045701984377","20131020","20230917"
"6951212170412722","20221212","20230917"
"6982818517834341","20081126","20230917"
"7077882695727336","20081126","20230917"
"7110621139709156","20180721","20230917"
"7183333492448248","20230917","20230917"
"7235435095059069","20230918","20230917"
"7268401059874834","20230708","20230917"
"7285917510261698","20201109","20230917"
"7300125658580126","20230917","20230917"
"7344049213610626","20221212","20230917"
"7385624172574740","20230917","20230917"
"7395271748414592","20230917","20230917"
"7420013136569528","20180721","20230917"
"7424617629476020","20121104","20230917"
"7457232989848872","20230917","20230917"
"7483280423474368","20230917","20230917"
"7486145189544149","20171213","20230917"
"7502817477690380","20221019","20230917"
"7503566413749235","20211009","20230917"
"7503669593172728","20230917","20230917"
"7505613986635677","20230917","20230917"
"7505990056227818","20230917","20230917"
"7552447676872484","20180721","20230917"
"7558856684488892","20221212","20230917"
"7585208964980608","20210530","20230917"
"7598121347840396","20230607","20230917"
"7619581461589857","20230111","20230917"
"7628308021169118","20230917","20230917"
"7632696113249142","20230627","20230917"
"7666290855904557","20200526","20230917"
"7670135462634715","20230513","20230917"
"7681671915916933","20230909","20230917"
"7694150664765911","20201205","20230917"
"7711282667602555","20230917","20230917"
"7715968593254705","20221212","20230917"
"7724944215827386","20081126","20230917"
"7727396367939916","20171107","20230917"
"7745894403636165","20230917","20230917"
"7768327419174840","20230917","20230917"
"7769065543658313","20230917","20230917"
"7801308453280535","20230607","20230917"
"7807308899091150","20081126","20230917"
"7813200549560081","20230607","20230917"
"7832557514882006","20220108","20230917"
"7863570390410066","20230717","20230917"
"7881099657101647","20221203","20230917"
"7902182071079987","20221212","20230917"
"7920014658832193","20230917","20230917"
"7938904494569702","20221212","20230917"
"8027198225150004","20221212","20230917"
"8106875813689926","20111019","20230917"
"8116792664359849","20220716","20230917"
"8152002614711054","20221212","20230917"
"8174243655864577","20221212","20230917"
"8175268772799530","20230918","20230917"
"8175784894140974","20230917","20230917"
"8187498148443422","20180721","20230917"
"8199503231048929","20230607","20230917"
"8234855558996646","20230917","20230917"
"8245207996110059","20180721","20230917"
"8279693426955446","20200823","20230917"
"8303557992090046","20210914","20230917"
"8304657348899424","20120606","20230917"
"8310193675733685","20131208","20230917"
"8384385859414435","20171213","20230917"
"8390255966699876","20120703","20230917"
"8403167990439117","20230917","20230917"
"8444217089800070","20220418","20230917"
"8454798808612639","20191006","20230917"
"8493402572044871","20221212","20230917"
"8546641293412808","20230607","20230917"
"8559354261956680","20090716","20230917"
"8590994832698963","20150927","20230917"
"8603978909726038","20230515","20230917"
"8605864619430858","20230102","20230917"
"8619939875418811","20160326","20230917"
"8632180647649495","20230613","20230917"
"8646067353086740","20230917","20230917"
"8661351019055429","20160316","20230917"
"8676363345079392","20171213","20230917"
"8685676232487546","20230607","20230917"
"8725363201030474","20230917","20230917"
"8731565448647588","20200823","20230917"
"8771016963657763","20081126","20230917"
"8790413783522890","20221102","20230917"
