insCode,instrumentID,cValMne,lVal18,cSocCSAC,lVal18AFC,lVal30,cIsin,lastDate,flow,lSoc30,status_code,group_code,market_type_code,cComVal,cSecVal,cSoSecVal,yVal
22129017544200,IRR1AZIN0101,AZIX1,Saipa Azin-R,AZIN,خاذینح,ح . سایپاآذین,IRR1AZIN0106,20200516,1,سایپاآذین,A,N2,NO,5,34,3499,400
94378630649293,IRB4SO110441,O11Q1,SOV.GMR110SP250622,SO11,اراد110,مرابحه عام دولت110-ش.خ040401,IRB4SO110443,20230607,2,مرابحه عام دولت110-ش.خاص0404,A,17,NO,4,69,6945,706
114312662654155,IRO3SAIZ0001,SAIZ1,SepehrSaderat Inv.,SAIZ,وسپهر,سرمایه گذاری مالی سپهرصادرات,IRO3SAIZ0007,20230909,2,سرمایه گذاری گروه سپهرصادرات,A,1Z,NO,1,56,5699,303
143187001116603,IRO6MELZ96C1,TM021,Melli Mortgage1803,MELZ,تملی612,تسهیلات مسکن بانک ملی-اسفند96,IRO6MELZ96C8,20230702,2,تسهیلات مسکن بانک ملی ایران,A,M1,NO,4,59,5910,307
163301738200990,IRO3MSZ90121,MK181,Bank Maskan,MSKZ,تسه9012,امتیاز تسهیلات مسکن اسفندماه90,IRO3MSZ90122,20180721,2,بانک مسکن,A,Z1,NO,4,59,5910,303
204092872752957,IRO3SDFZ0001,SDFZ1,Sanati Doodeh Fam,SDFZ,شصدف,صنعتی دوده فام,IRO3SDFZ0007,20230909,2,صنعتی دوده فام,A,1Z,NO,1,44,4429,303
244106582239634,IRR1SRMA0101,SRMX1,Sarma Afarin-R,SRMA,لسرماح,ح . سرما آفرین,IRR1SRMA0105,20171213,1,سرما آفرین,A,N2,NO,5,29,2919,400
284184891779325,IRR7KFRP0101,KFRX1,Siman Shargh PR-R,KFRP,کفرآورح,ح. فرآورده های سیمان شرق,IRR7KFRP0109,20180721,4,فرآورده های سیمان شرق,A,P1,NO,7,54,5495,404
318005355896147,IRO7PFSP0001,PFSP1,Fasa Petro.,PFSP,فسا,پتروشیمی فسا,IRO7PFSP0001,20230909,4,پتروشیمی فسا,A,P1,NO,7,44,4411,309
379466056274101,IRR1TNOV0101,TNOX1,S*Novin Invest-R,TNOV,تنوینح,ح . تامین سرمایه نوین,IRR1TNOV0101,20210519,1,تامین سرمایه نوین,A,N2,NO,5,67,6719,400
408934423224097,IRO1FRVR0001,FRVR1,Iran Mineral P.,FRVR,فرآور,فرآوری موادمعدنی ایران,IRO1FRVR0008,20230909,1,فرآوری موادمعدنی ایران,A,N1,NO,1,27,2720,300
471543293603227,IRT3VC140001,VC141,Sepehr Aval VCF-VR,VC14,سپهر,ص.ج. سپهریکم 20% تادیه,IRT3VC140004,20230515,2,ص.س.جسورانه سپهریکم,A,T1,NO,4,68,6815,305
490987973229371,IRT3AKMF0001,AKMF1,Akam ETF,AKMF,آکام,صندوق س. نوع دوم آکام-د,IRT3AKMF0002,20230702,2,ص.س.درآمد ثابت نوع دوم آکام,A,1A,NO,4,68,6812,305
